payroll_tax,Payroll Tax,E2.1,"Eliminate the taxable maximum without providing benefit credit","Eliminate the taxable maximum in years 2025 and later, and apply full 12.4 percent payroll tax rate to all earnings. Do not provide benefit credit for earnings above the current-law taxable maximum.","Increases revenue through payroll tax changes; Targets high-income earners; Long-range effect: 2.55% of payroll; 75th year effect: 2.60% of payroll",2.55,2.60,73,56,"Long-range effect: 2.55% of payroll","75th year effect: 2.60% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run161.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run161.html",,,,,,
payroll_tax,Payroll Tax,E2.2,"Eliminate the taxable maximum with benefit credit","Eliminate the taxable maximum in years 2025 and later, and apply full 12.4 percent payroll tax rate to all earnings. Provide benefit credit for earnings above the current-law taxable maximum.","Increases revenue through payroll tax changes while maintaining benefit fairness; Long-range effect: 1.86% of payroll; 75th year effect: 1.37% of payroll",1.86,1.37,53,29,"Long-range effect: 1.86% of payroll","75th year effect: 1.37% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run162.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run162.html",,,,,,
payroll_tax,Payroll Tax,E2.4,"Phase in elimination of taxable maximum with secondary PIA formula","Eliminate the taxable maximum for years 2031 and later (phased in 2025-2031), and apply full 12.4 percent payroll tax rate to all earnings. Provide benefit credit for earnings above the current-law taxable maximum that are subject to the payroll tax, using a secondary PIA formula.","Increases revenue through payroll tax changes with progressive benefit structure; Long-range effect: 2.37% of payroll; 75th year effect: 2.49% of payroll",2.37,2.49,68,54,"Long-range effect: 2.37% of payroll","75th year effect: 2.49% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run164.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run164.html",,,,,,
payroll_tax,Payroll Tax,E2.5,"Apply 12.4% payroll tax on earnings above $250,000","Apply 12.4 percent payroll tax rate on earnings above $250,000 starting in 2025, and tax all earnings once the current-law taxable maximum exceeds $250,000. Do not provide benefit credit for additional earnings taxed.","Increases revenue by targeting very high earners; Creates a donut hole approach; Long-range effect: 2.49% of payroll; 75th year effect: 2.60% of payroll",2.49,2.60,71,56,"Long-range effect: 2.49% of payroll","75th year effect: 2.60% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run165.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run165.html",,,,,,
payroll_tax,Payroll Tax,E2.11,"Phase in elimination of taxable maximum with 5% formula factor","Eliminate the taxable maximum in years 2030 and later. Phase in elimination by taxing all earnings above the current-law taxable maximum at increasing rates. Provide benefit credit using a secondary PIA formula with a 5 percent formula factor.","Increases revenue with incremental implementation; Long-range effect: 2.22% of payroll; 75th year effect: 2.20% of payroll",2.22,2.20,64,47,"Long-range effect: 2.22% of payroll","75th year effect: 2.20% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run171.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run171.html",,,,,,
payroll_tax,Payroll Tax,E2.12,"Apply 12.4% payroll tax on earnings above $400,000","Apply 12.4 percent payroll tax rate on earnings above $400,000 starting in 2025 and tax all earnings once the current-law taxable maximum exceeds $400,000. Do not provide benefit credit for additional earnings taxed.","Increases revenue by targeting very high earners; Long-range effect: 2.01% of payroll; 75th year effect: 2.15% of payroll",2.01,2.15,57,46,"Long-range effect: 2.01% of payroll","75th year effect: 2.15% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run172.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run172.html",,,,,,
payroll_tax,Payroll Tax,E2.13,"Apply 12.4% payroll tax on earnings above $400,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $400,000 starting in 2026, and tax all earnings once the current-law taxable maximum exceeds $400,000. Provide benefit credit using a secondary PIA formula with 2 percent formula factor.","Increases revenue while providing some benefit credit for additional taxes; Long-range effect: 2.20% of payroll; 75th year effect: 2.45% of payroll",2.20,2.45,63,53,"Long-range effect: 2.20% of payroll","75th year effect: 2.45% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run173.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run173.html",,,,,,
payroll_tax,Payroll Tax,E2.14,"Apply 12.4% payroll tax on earnings above $250,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $250,000 starting in 2026. Provide benefit credit using a secondary PIA formula with 2 percent formula factor.","Increases revenue by targeting high earners with some benefit credit; Long-range effect: 2.38% of payroll; 75th year effect: 2.44% of payroll",2.38,2.44,68,53,"Long-range effect: 2.38% of payroll","75th year effect: 2.44% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run174.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run174.html",,,,,,
payroll_tax,Payroll Tax,E2.15,"Apply 12.4% payroll tax on earnings above $300,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $300,000 starting in 2026. Provide benefit credit using a secondary PIA formula with 3 percent formula factor.","Increases revenue with higher benefit credit percentage for affected earnings; Long-range effect: 2.28% of payroll; 75th year effect: 2.36% of payroll",2.28,2.36,65,51,"Long-range effect: 2.28% of payroll","75th year effect: 2.36% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run175.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run175.html",,,,,,
payroll_tax,Payroll Tax,E2.16,"Apply 12.4% payroll tax on earnings above $250,000 with wage index adjustment","Apply OASDI 12.4 percent payroll tax rate on earnings above $250,000 starting in 2025. Increase the computed level of the SSA average wage index for years after 2024. Provide benefit credit using a secondary PIA formula.","Complex approach with both tax changes and wage index adjustments; Long-range effect: 2.34% of payroll; 75th year effect: 2.38% of payroll",2.34,2.38,67,51,"Long-range effect: 2.34% of payroll","75th year effect: 2.38% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run176.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run176.html",,,,,,
